"","protein1","protein2"
"3030994","IL-18","IDO1"
"3031036","IL-18","GZMA"
"3031039","IL-18","CD31"
"3031064","IL-18","ICAM1"
"3031111","IL-18","TCF7"
"3031148","IL-18","CD3"
"3031164","IL-18","CD68"
"3031177","IL-18","EpCAM"
"3943683","CD3","CD40"
"3943762","CD3","GZMB"
"3943815","CD3","HLA-DR"
"3943877","CD3","CD45"
"3943897","CD3","LAG3"
"3943921","CD3","ICOS"
"3943986","CD3","Her2"
"3944017","CD3","CD127"
"3944040","CD3","Tim-3"
"3944119","CD3","pan-RAS"
"3944142","CD3","EGFR"
"3944191","CD3","B7-H3"
"3944278","CD3","PD-L1"
"3944374","CD3","PD-L2"
"3944542","CD3","CD38"
"3944600","CD3","CD34"
"3944617","CD3","CCR7"
"3944624","CD3","SMA"
"3944731","CD3","Fibronectin"
"3944915","CD3","FOXP3"
"3944998","CD3","NF-kB p65"
"3945016","CD3","Ki-67"
"3945059","CD3","p53"
"3945122","CD3","CD27"
"3945315","CD3","CD4"
"3945370","CD3","VISTA"
"3945396","CD3","4-1BB"
"3945430","CD3","CTLA4"
"3945469","CD3","IL-1b"
"3945544","CD3","CD123"
"3945582","CD3","Vimentin"
"3945627","CD3","ICAM1"
"3945663","CD3","CD31"
"3945665","CD3","GZMA"
"3945709","CD3","IDO1"
"3945790","CD3","IL-18"
"3945824","CD3","EpCAM"
"3945838","CD3","CD68"
"3945905","CD3","TCF7"
"4274147","CD127","CD27"
"4274166","CD127","p53"
"4274195","CD127","Ki-67"
"4274205","CD127","CD15"
"4274238","CD127","NF-kB p65"
"4274372","CD127","iNOS"
"4274395","CD127","Fibronectin"
"4274472","CD127","FOXP3"
"4274556","CD127","GZMA"
"4274562","CD127","IDO1"
"4274586","CD127","ICAM1"
"4274592","CD127","CD31"
"4274611","CD127","Vimentin"
"4274650","CD127","TCF7"
"4274671","CD127","CD68"
"4274677","CD127","CD3"
"4274701","CD127","EpCAM"
"4274719","CD127","IL-18"
"4274737","CD127","4-1BB"
"4274741","CD127","CTLA4"
"4274754","CD127","VISTA"
"4274828","CD127","CD4"
"4274845","CD127","CD123"
"4274892","CD127","IL-1b"
"4274940","CD127","FABP4"
"4274955","CD127","Her2"
"4274979","CD127","ICOS"
"4275005","CD127","CD45"
"4275024","CD127","LAG3"
"4275070","CD127","pan-RAS"
"4275094","CD127","Tim-3"
"4275260","CD127","HLA-DR"
"4275277","CD127","GZMB"
"4275324","CD127","CD40"
"4275345","CD127","CD38"
"4275493","CD127","CCR7"
"4275508","CD127","SMA"
"4275535","CD127","CD34"
"4275555","CD127","PD-L1"
"4275591","CD127","B7-H3"
"4275622","CD127","EGFR"
"4275673","CD127","PD-L2"
"4511449","CD34","PD-L2"
"4511556","CD34","PD-L1"
"4511609","CD34","B7-H3"
"4511649","CD34","EGFR"
"4511774","CD34","CCR7"
"4511799","CD34","SMA"
"4511861","CD34","CD38"
"4512034","CD34","HLA-DR"
"4512051","CD34","GZMB"
"4512118","CD34","CD40"
"4512330","CD34","pan-RAS"
